record id,save datetime,biohub author,possible biohub author,format biohub author,corresponding author,corresponding author institution,journal,doi,pmid,title,url,abstract,keyword,pdf url,version,version number,type,date,epost date,publish date,authors,authors2,affiliations list,author - affiliations,published or not,confirm published doi,confirm preprint doi,possible match result,match id,record change number
1,2023-02-14,"Zhang, Wenjun",,"Zhang, Wenjun",Qiuhua Jiang,"From the Department of Neurosurgery (J.L., X.Y., Q.J.), and Department of Recovery Medicine (W.Z.), The Affiliated Ganzhou Hospital of Nanchang University, Jiangxi, China; and Department of Neurosurgery (S.Z.), West China Hospital of Sichuan University, Chengdu. jiangqh1968@126.com.",Neurology,10.1212/WNL.0000000000201570,36443010.0,Primary Melanocytoma Arising From Trigeminal Nerve.,https://pubmed.ncbi.nlm.nih.gov/36443010,,,,,,,2022-11-29,2022/11/28,2022/11/29,Jun Liu; Wenjun Zhang; Xinyun Ye; Si Zhang; Qiuhua Jiang,,"From the Department of Neurosurgery (J.L., X.Y., Q.J.), and Department of Recovery Medicine (W.Z.), The Affiliated Ganzhou Hospital of Nanchang University, Jiangxi, China; and Department of Neurosurgery (S.Z.), West China Hospital of Sichuan University, Chengdu.; From the Department of Neurosurgery (J.L., X.Y., Q.J.), and Department of Recovery Medicine (W.Z.), The Affiliated Ganzhou Hospital of Nanchang University, Jiangxi, China; and Department of Neurosurgery (S.Z.), West China Hospital of Sichuan University, Chengdu. jiangqh1968@126.com.","Jun Liu: From the Department of Neurosurgery (J.L., X.Y., Q.J.), and Department of Recovery Medicine (W.Z.), The Affiliated Ganzhou Hospital of Nanchang University, Jiangxi, China; and Department of Neurosurgery (S.Z.), West China Hospital of Sichuan University, Chengdu.Wenjun Zhang: From the Department of Neurosurgery (J.L., X.Y., Q.J.), and Department of Recovery Medicine (W.Z.), The Affiliated Ganzhou Hospital of Nanchang University, Jiangxi, China; and Department of Neurosurgery (S.Z.), West China Hospital of Sichuan University, Chengdu.Xinyun Ye: From the Department of Neurosurgery (J.L., X.Y., Q.J.), and Department of Recovery Medicine (W.Z.), The Affiliated Ganzhou Hospital of Nanchang University, Jiangxi, China; and Department of Neurosurgery (S.Z.), West China Hospital of Sichuan University, Chengdu.Si Zhang: From the Department of Neurosurgery (J.L., X.Y., Q.J.), and Department of Recovery Medicine (W.Z.), The Affiliated Ganzhou Hospital of Nanchang University, Jiangxi, China; and Department of Neurosurgery (S.Z.), West China Hospital of Sichuan University, Chengdu.Qiuhua Jiang: From the Department of Neurosurgery (J.L., X.Y., Q.J.), and Department of Recovery Medicine (W.Z.), The Affiliated Ganzhou Hospital of Nanchang University, Jiangxi, China; and Department of Neurosurgery (S.Z.), West China Hospital of Sichuan University, Chengdu. jiangqh1968@126.com.",,,,,,0
2,2023-02-14,Hernan G Garcia,,,Michael B Eisen,"Howard Hughes Medical Institute. University of California, Berkeley.",bioRxiv,10.1101/2023.02.09.527927,,Unified bursting strategies in ectopic and endogenous even-skipped expression patterns,http://www.biorxiv.org/content/10.1101/2023.02.09.527927v1,"Transcription often occurs in bursts as gene promoters switch stochastically between active and inactive states. Enhancers can dictate transcriptional activity in animal development through the modulation of burst frequency, duration, or amplitude. Previous studies observed that different enhancers can achieve a wide range of transcriptional outputs through the same strategies of bursting control. For example, despite responding to different transcription factors, all even-skipped enhancers increase transcription by upregulating burst frequency and amplitude while burst duration remains largely constant. These shared bursting strategies suggest that a unified molecular mechanism constraints how enhancers modulate transcriptional output. Alternatively, different enhancers could have converged on the same bursting control strategy because of natural selection favoring one of these particular strategies. To distinguish between these two scenarios, we compared transcriptional bursting between endogenous and ectopic gene expression patterns. Because enhancers act under different regulatory inputs in ectopic patterns, dissimilar bursting control strategies between endogenous and ectopic patterns would suggest that enhancers adapted their bursting strategies to their trans-regulatory environment. Here, we generated ectopic even-skipped transcription patterns in fruit fly embryos and discovered that bursting strategies remain consistent in endogenous and ectopic even-skipped expression. These results provide evidence for a unified molecular mechanism shaping even-skipped bursting strategies and serve as a starting point to uncover the realm of strategies employed by other enhancers.",,,biorxiv;2023.02.09.527927,1,new results,2023-02-10,02/10/2023,,Augusto Berrocal; Nicholas C Lammers; Hernan G Garcia; Michael B Eisen,"Berrocal, A.; Lammers, N. C.; Garcia, H. G.; Eisen, M. B.","Department of Molecular & Cell Biology, University of California at Berkeley; Department of Pharmaceutical Chemistry, University of California at San Francisco; Biophysics Graduate Group, University of California at Berkeley; Department of Genome Sciences, University of Washington; Department of Molecular & Cell Biology, University of California at Berkeley; Biophysics Graduate Group, University of California at Berkeley; Department of Physics, University of California at Berkeley; California Institute for Quantitative Biosciences (QB3), University of California at Berkeley; Chan Zuckerberg Biohub; Department of Molecular & Cell Biology, University of California at Berkeley; Biophysics Graduate Group, University of California at Berkeley; California Institute for Quantitative Biosciences (QB3), University of California at Berkeley; Howard Hughes Medical Institute, University of California at Berkeley","Augusto Berrocal, Department of Molecular & Cell Biology, University of California at Berkeley, Department of Pharmaceutical Chemistry, University of California at San Francisco], [Nicholas C Lammers, Biophysics Graduate Group, University of California at Berkeley, Department of Genome Sciences, University of Washington], [Hernan G Garcia, Department of Molecular & Cell Biology, University of California at Berkeley, Biophysics Graduate Group, University of California at Berkeley, Department of Physics, University of California at Berkeley, California Institute for Quantitative Biosciences (QB3), University of California at Berkeley, Chan Zuckerberg Biohub], [Michael B Eisen, Department of Molecular & Cell Biology, University of California at Berkeley, Biophysics Graduate Group, University of California at Berkeley, California Institute for Quantitative Biosciences (QB3), University of California at Berkeley, Howard Hughes Medical Institute, University of California at Berkeley",NA,,,,,0
3,2023-02-14,Russ B Altman,,"Altman, Russ; Altman, Russ; Altman, Russ; Altman, Russ; Altman, Russ; Altman, Russ",Sheng Wang,"School of Computer Science and Engineering, University of Washington, Seattle, WA, USA. swang@cs.washington.edu.",Nature communications,10.1038/s41467-023-36476-2,36759510.0,Multilingual translation for zero-shot biomedical classification using BioTranslator.,https://pubmed.ncbi.nlm.nih.gov/36759510,"Existing annotation paradigms rely on controlled vocabularies, where each data instance is classified into one term from a predefined set of controlled vocabularies. This paradigm restricts the analysis to concepts that are known and well-characterized. Here, we present the novel multilingual translation method BioTranslator to address this problem. BioTranslator takes a user-written textual description of a new concept and then translates this description to a non-text biological data instance. The key idea of BioTranslator is to develop a multilingual translation framework, where multiple modalities of biological data are all translated to text. We demonstrate how BioTranslator enables the identification of novel cell types using only a textual description and how BioTranslator can be further generalized to protein function prediction and drug target identification. Our tool frees scientists from limiting their analyses within predefined controlled vocabularies, enabling them to interact with biological data using free text.",,,,,,2023-02-10,2023/02/10,2023/2/10,Hanwen Xu; Addie Woicik; Hoifung Poon; Russ B Altman; Sheng Wang,,"Department of Bioengineering, Stanford University, Stanford, CA, USA.; Department of Genetics, Stanford University, Stanford, CA, USA.; Chan Zuckerberg Biohub, San Francisco, CA, USA.; Microsoft Research, Redmond, WA, USA.; School of Computer Science and Engineering, University of Washington, Seattle, WA, USA.; School of Computer Science and Engineering, University of Washington, Seattle, WA, USA. swang@cs.washington.edu.","Hanwen Xu: School of Computer Science and Engineering, University of Washington, Seattle, WA, USA.Addie Woicik: School of Computer Science and Engineering, University of Washington, Seattle, WA, USA.Hoifung Poon: Microsoft Research, Redmond, WA, USA.Russ B Altman: Department of Bioengineering, Stanford University, Stanford, CA, USA.; Department of Genetics, Stanford University, Stanford, CA, USA.; Chan Zuckerberg Biohub, San Francisco, CA, USA.Sheng Wang: School of Computer Science and Engineering, University of Washington, Seattle, WA, USA. swang@cs.washington.edu.",,,,,,0
4,2023-02-14,,,,,,MMWR. Morbidity and mortality weekly report,10.15585/mmwr.mm7206e1,36757874.0,"Vital Signs: Health Disparities in Hemodialysis-Associated Staphylococcus aureus Bloodstream Infections - United States, 2017-2020.",https://pubmed.ncbi.nlm.nih.gov/36757874,"Racial and ethnic minorities are disproportionately affected by end-stage kidney disease (ESKD). ESKD patients on dialysis are at increased risk for Staphylococcus aureus bloodstream infections, but racial, ethnic, and socioeconomic disparities associated with this outcome are not well described.",,,,,,2023-02-10,2023/02/10,2023/2/10,Brian Rha; Isaac See; Lindsay Dunham; Preeta K Kutty; Lauren Moccia; Ibironke W Apata; Jennifer Ahern; Shelley Jung; Rongxia Li; Joelle Nadle; Susan Petit; Susan M Ray; Lee H Harrison; Carmen Bernu; Ruth Lynfield; Ghinwa Dumyati; Marissa Tracy; William Schaffner; D Cal Ham; Shelley S Magill; Erin N O'Leary; Jeneita Bell; Arjun Srinivasan; L Clifford McDonald; Jonathan R Edwards; Shannon Novosad,,,Brian Rha: Isaac See: Lindsay Dunham: Preeta K Kutty: Lauren Moccia: Ibironke W Apata: Jennifer Ahern: Shelley Jung: Rongxia Li: Joelle Nadle: Susan Petit: Susan M Ray: Lee H Harrison: Carmen Bernu: Ruth Lynfield: Ghinwa Dumyati: Marissa Tracy: William Schaffner: D Cal Ham: Shelley S Magill: Erin N O'Leary: Jeneita Bell: Arjun Srinivasan: L Clifford McDonald: Jonathan R Edwards: Shannon Novosad: ,,,,,,0
5,2023-02-14,Benjamin H. Good,,,Benjamin H Good,Stanford University,bioRxiv,10.1101/2022.10.27.514143,,Limited codiversification of the gut microbiota with humans,http://www.biorxiv.org/content/10.1101/2022.10.27.514143v2,"A recent study by Suzuki & Fitzstevens et al (1) argued that dozens of species of gut bacteria have codiversified with modern human populations. Reanalysis of their data reveals that the correlations between human and microbial phylogenies are substantially weaker than unlinked human chromosomes, and that similar correlations can arise through geographic structure alone. This suggests that codiversification has been limited within humans.",,,biorxiv;2022.10.27.514143,2,contradictory results,2023-02-12,02/12/2023,,Benjamin H. Good,"Good, B. H.","Department of Applied Physics, Stanford University; Department of Biology, Stanford University; Chan Zuckerberg Biohub","Benjamin H. Good, Department of Applied Physics, Stanford University, Department of Biology, Stanford University, Chan Zuckerberg Biohub",NA,,,,,0
6,2023-02-14,,,,Zaki Molvi,Memorial Sloan Kettering Cancer Center,bioRxiv,10.1101/2023.02.08.527552,,The landscape of MHC-presented phosphopeptides yields actionable shared tumor antigens for cancer immunotherapy across multiple HLA alleles,http://www.biorxiv.org/content/10.1101/2023.02.08.527552v3,"BackgroundPhosphorylated peptides have been shown to be presented by MHC molecules, particularly by cancer cells that are characterized by aberrant phosphorylation. Phosphopeptides presented in complex with human leukocyte antigen (HLA) have been reported to provide a stability advantage over their unmodified counterparts when presented by the common HLA allele A*02:01. This stability in turn is thought to translate to enhanced immunogenicity. Whether tumor-associated phosphopeptides presented by other common alleles exhibit immunogenicity and structural characteristics similar to those presented by A*02:01 is unclear. Therefore, we sought to determine the identity, structural features, and immunogenicity of phosphopeptides presented by the common alleles HLA-A*03:01, -A*11:01, -C*07:01, and -C*07:02.

MethodsWe isolated peptide-MHC complexes by immunoprecipitation of 10 healthy and neoplastic tissue samples using mass spectrometry, and then combined the resulting data with public immunopeptidomics datasets to assemble a curated set of phosphopeptides presented by 20 distinct healthy and neoplastic tissue types. We determined the biochemical features of selected phosphopeptides by in vitro binding assays and in silico docking, and their immunogenicity by analyzing healthy donor T cells for phosphopeptide-specific multimer binding and cytokine production.

ResultsWe demonstrated that HLA-A*03:01 and -A*11:01 present shared phosphopeptides on multiple tumor types, particularly lymphomas and leukemias; a subset of these peptides were not found on healthy tissues. These phosphopeptides generally exhibited similar binding to A*11:01 and similar or worse binding to A*03:01 than their unmodified counterparts. Additionally, we found that HLA-C*07:01 phosphopeptides were generally presented in the absence of their unmodified counterparts, and were dependent on B-pocket interactions that were absent in C*07:02, but such interactions were still permissive to unmodified peptide binding. We found that HLA-A*02:01 and -A*11:01 phosphopeptide-specific T cells could be readily detected in an autologous setting, even when the wildtype peptide was co-presented. In contrast, HLA-A*03:01 or -C*07:01 phosphopeptide-specific T cell responses were not elicited in autologous donors, but could be elicited in allogeneic donors.

ConclusionsOur results demonstrated that phosphopeptides across multiple alleles represent shared tumor-specific antigens that could be targeted for cancer immunotherapy, but the immunogenicity of such phosphopeptides is not a general feature, which may be explained by a lack of increase in energetic favorability associated with phosphopeptide binding to A*03:01. Thus, to address an expanded patient population, phosphopeptide-targeted immunotherapies should be wary of allele-specific differences.

O_LIWhat is already known on this topic - Phosphorylated peptides presented by the common HLA alleles A*02:01 and B*07:02 are differentially expressed by multiple tumor types, exhibit structural fitness due to phosphorylation, and are targets of healthy donor T cell surveillance, but it is not clear, however, whether such features apply to phosphopeptides presented by other common HLA alleles.
C_LIO_LIWhat this study adds - We investigated the tumor presentation, binding, structural features, and immunogenicity of phosphopeptides to the prevalent alleles A*03:01, A*11:01, C*07:01, and C*07:02, selected on the basis of their presentation by malignant cells but not normal cells, finding tumor antigens derived from genetic dependencies in lymphomas and leukemias that bind HLA-A3, -A11, -C7 molecules. While we could detect circulating T cell responses in healthy individuals to A*2:01 and A*11:01 phosphopeptides, we did not find such responses to A*03:01 or C*07:01 phosphopeptides, except when utilizing allogeneic donor T cells, indicating that these phosphopeptides may not be immunogenic in an autologous setting but can still be targeted by other means.
C_LIO_LIHow this study might affect research, practice or policy - An expanded patient population expressing alleles other than A*02:01 can be addressed through the development of immunotherapies specific for phosphopeptides profiled in the present work, provided the nuances we describe between alleles are taken into consideration.
C_LI",,,biorxiv;2023.02.08.527552,3,new results,2023-02-12,02/12/2023,,Zaki Molvi; Martin G. Klatt; Tao Dao; Jessica Urraca; David A. Scheinberg; Richard J. O’Reilly,"Molvi, Z.; Klatt, M. G.; Dao, T.; Urraca, J.; Scheinberg, D. A.; O'Reilly, R. J.","Immunology Program, Memorial Sloan Kettering Cancer Center; Department of Hematology, Oncology and Tumor Immunology, Campus Benjamin Franklin, Charité- University Medicine Berlin; German Cancer Research Center (DKFZ) and German Cancer Consortium (DKTK); Berlin Institute of Health at Charité –Universitätsmedizin Berlin, BIH Biomedical Innovation Academy, BIH Charité Clinician Scientist Program; Molecular Pharmacology Program, Memorial Sloan Kettering Cancer Center; Department of Pediatrics, Memorial Sloan Kettering Cancer Center; Molecular Pharmacology Program, Memorial Sloan Kettering Cancer Center; Weill Cornell Medicine; Immunology Program, Memorial Sloan Kettering Cancer Center; Weill Cornell Medicine; Department of Pediatrics, Memorial Sloan Kettering Cancer Center","Zaki Molvi, Immunology Program, Memorial Sloan Kettering Cancer Center], [Martin G. Klatt, Department of Hematology, Oncology and Tumor Immunology, Campus Benjamin Franklin, Charité- University Medicine Berlin, German Cancer Research Center (DKFZ) and German Cancer Consortium (DKTK), Berlin Institute of Health at Charité –Universitätsmedizin Berlin, BIH Biomedical Innovation Academy, BIH Charité Clinician Scientist Program], [Tao Dao, Molecular Pharmacology Program, Memorial Sloan Kettering Cancer Center], [Jessica Urraca, Department of Pediatrics, Memorial Sloan Kettering Cancer Center], [David A. Scheinberg, Molecular Pharmacology Program, Memorial Sloan Kettering Cancer Center, Weill Cornell Medicine], [Richard J. O’Reilly, Immunology Program, Memorial Sloan Kettering Cancer Center, Weill Cornell Medicine, Department of Pediatrics, Memorial Sloan Kettering Cancer Center",NA,,,,,0
7,2023-02-14,,,,Jennifer L Guler,University of Virginia,bioRxiv,10.1101/2023.02.13.528367,,Expansion of GTP cyclohydrolase I copy number in malaria parasites resistant to a pyrimidine biosynthesis inhibitor,http://www.biorxiv.org/content/10.1101/2023.02.13.528367v1,"Changes in the copy number of large genomic regions, termed copy number variations or CNVs, are an important adaptive strategy for malaria parasites. Numerous CNVs across the Plasmodium falciparum genome contribute directly to drug resistance or impact fitness of this protozoan parasite. CNVs that encompass the dihydroorotate dehydrogenase (DHODH) gene confer resistance to antimalarials that target this enzyme in the pyrimidine biosynthesis pathway (i.e. DSM1). During the characterization of DSM1 resistant parasite lines with DHODH CNVs, we detected selection of an additional CNV that encompasses 3 genes (~5 kb) including GTP cyclohydrolase I (GCH1 amplicon). While this locus has been implicated in increased fitness of antifolate resistant parasites, GCH1 CNVs had not previously been reported to contribute to resistance to other antimalarials. Here, we further explored the association between GCH1 and DHODH copy number. We visualized single long reads and directly quantified the number of tandem GCH1 amplicons in a parental line versus a DSM1-selected line. We found that the GCH1 amplicons share a consistent structure in all lines. However, we detected more reads that encompassed a higher number of amplicons in the resistant (up to 7 amplicons) compared to the parental line (3 amplicons). To better understand the implications of this result, we evaluated variation at this locus across multiple short- and long-read data sets collected from various parasite lines. Based on our analysis of parasites resistant to other DHODH inhibitors (DSM265, DSM267, and DSM705), GCH1 is not likely contributing directly to resistance; however, higher numbers of the GCH1 amplicon are associated with increased DHODH copies and may compensate for changes in metabolism of parasites. This is supported by the direct connection between folate and pyrimidine metabolism, which together contribute to nucleic acid biosynthesis. This study highlights the importance of studying clonal variation and potential biochemical connections as novel antimalarials move closer to clinical approval.",,,biorxiv;2023.02.13.528367,1,new results,2023-02-13,02/13/2023,,Shiwei Liu; Emily R Ebel; Jane Kim; Nnenna Ene; Thomas Werner Anthony Braukmann; Ellen Yeh; Elizabeth S. Egan; Jennifer L Guler,"Liu, S.; Ebel, E. R.; Kim, J.; Ene, N.; Braukmann, T. W. A.; Yeh, E.; Egan, E. S.; Guler, J. L.",University of Virginia;; Stanford University;; University of Virginia;; University of Virginia;; Stanford University;; Stanford University;; Stanford University School of Medicine; University of Virginia;,"Shiwei Liu, University of Virginia;], [Emily R Ebel, Stanford University;], [Jane Kim, University of Virginia;], [Nnenna Ene, University of Virginia;], [Thomas Werner Anthony Braukmann, Stanford University;], [Ellen Yeh, Stanford University;], [Elizabeth S. Egan, Stanford University School of Medicine], [Jennifer L Guler, University of Virginia;",NA,,,,,0
8,2023-02-14,,,,Georgi K Marinov,Stanford University,bioRxiv,10.1101/2022.07.22.501187,,The chromatin landscape of the euryarchaeon Haloferax volcanii,http://www.biorxiv.org/content/10.1101/2022.07.22.501187v2,"Archaea, together with Bacteria, represent the two main divisions of life on Earth, with many of the defining characteristics of the more complex eukaryotes tracing their origin to evolutionary innovations first made in their archaeal ancestors. One of the most notable such features is nucleosomal chromatin, although archaeal histones and chromatin differ significantly from those of eukaryotes. Despite increased interest in archaeal histones in recent years, the properties of archaeal chromatin have been little studied using genomic tools. Here, we adapt the ATAC-seq assay to archaea and use it to map the accessible landscape of the genome of the euryarchaeote Haloferax volcanii. We integrate the resulting datasets with genome-wide maps of active transcription and single-stranded DNA (ssDNA) and find that while H. volcanii promoters exist in a preferentially accessible state, unlike most eukaryotes, modulation of transcriptional activity is not associated with changes in promoter accessibility. Applying orthogonal single-molecule footprinting methods, we quantify the absolute levels of physical protection of H. volcanii, and find that Haloferax chromatin is similarly or only slightly more accessible, in aggregate, than that of eukaryotes. We also evaluate the degree of coordination of transcription within archaeal operons and make the unexpected observation that some CRISPR arrays are associated with highly prevalent ssDNA structures. These results provide a foundation for the future functional studies of archaeal chromatin.",,,biorxiv;2022.07.22.501187,2,new results,2023-02-14,02/14/2023,,Georgi K Marinov; S Tansu Bagdatli; Tong Wu; Chuan He; Anshul Kundaje; William Greenleaf,"Marinov, G. K.; Bagdatli, S. T.; Wu, T.; He, C.; Kundaje, A.; Greenleaf, W.",Stanford University;; Stanford University;; University of Chicago;; Univ. Chicago; Stanford University;; Stanford University;,"Georgi K Marinov, Stanford University;], [S Tansu Bagdatli, Stanford University;], [Tong Wu, University of Chicago;], [Chuan He, Univ. Chicago], [Anshul Kundaje, Stanford University;], [William Greenleaf, Stanford University;",NA,,,,,0
9,2023-02-14,"Song, Yun",,"Song, Yun",,,Cartilage,10.1177/19476035221114858,36786226.0,Cinnamaldehyde Induces the Expression of MicroRNA-1285-5p and MicroRNA-140-5p in Chondrocytes to Ameliorate the Apoptosis and Inflammatory Response.,https://pubmed.ncbi.nlm.nih.gov/36786226,Cinnamaldehyde (CA) is an active ingredient of Wenyang Tongluo capsule. This study was performed to investigate the function of CA on human chondrocytes.,cinnamaldehyde; inflammation; osteoarthritis; proliferation,,,,,2023-02-15,2023/02/14,2023/2/15,Gang Li; Yun Song,,"Guangdong Food and Drug Vocational College, Guangzhou, China.; South China Normal University Hospital, Guangzhou, Guangdong, China.","Gang Li: Guangdong Food and Drug Vocational College, Guangzhou, China.Yun Song: South China Normal University Hospital, Guangzhou, Guangdong, China.",,,,,,0
10,2023-02-14,"Seed, Kimberley",,"Seed, Kim",,,Molecular microbiology,10.1111/mmi.15046,36786209.0,The RNA-RNA interactome between a phage and its satellite virus reveals a small RNA that differentially regulates gene expression across both genomes.,https://pubmed.ncbi.nlm.nih.gov/36786209,"Satellite viruses are present across all domains of life, defined as sub-viral parasites that require infection by another virus for satellite progeny production. Phage satellites exhibit various regulatory mechanisms to manipulate phage gene expression to the benefit of the satellite, redirecting resources from the phage to the satellite, and often inhibiting phage progeny production. While small RNAs (sRNAs) are well documented as regulators of prokaryotic gene expression, they have not been shown to play a regulatory role in satellite-phage conflicts. Vibrio cholerae encodes the phage inducible chromosomal island-like element (PLE), a phage satellite, to defend itself against the lytic phage ICP1. Here we use Hi-GRIL-seq to identify a complex RNA-RNA interactome between PLE and ICP1. Both inter- and intra-genome RNA interactions were detected, headlined by the PLE sRNA, SviR. SviR is involved in regulating both PLE and ICP1 gene expression uniquely, decreasing ICP1 target translation and affecting PLE transcripts. The striking conservation of SviR across all known PLEs suggests the sRNA is deeply rooted in the PLE-ICP1 conflict and implicates sRNAs as unidentified regulators of gene expression in phage-satellite interactions.",Bacterial RNA; Bacteriophage; Regulatory RNA; Satellite viruses; Vibrio cholerae,,,,,2023-02-15,2023/02/14,2023/2/15,Drew T Dunham; Angus Angermeyer; Kimberley D Seed,,"Department of Plant and Microbial Biology, University of California, Berkeley, CA, USA.","Drew T Dunham: Department of Plant and Microbial Biology, University of California, Berkeley, CA, USA.Angus Angermeyer: Department of Plant and Microbial Biology, University of California, Berkeley, CA, USA.Kimberley D Seed: Department of Plant and Microbial Biology, University of California, Berkeley, CA, USA.",,,,,,0
