record id,save datetime,biohub author,possible biohub author,format biohub author,corresponding author,corresponding author institution,journal,doi,pmid,title,url,abstract,keyword,pdf url,version,version number,type,date,epost date,publish date,authors,authors2,affiliations list,author - affiliations,published or not,confirm published doi,confirm preprint doi,possible match result,match id,record change number
1,2023-02-05,,,,,,American journal of medical genetics. Part A,10.1002/ajmg.a.63020,36308388.0,Obstetrical and neonatal outcomes of cardio-facio-cutaneous syndrome: Prenatal consequences of Ras/MAPK dysregulation.,https://pubmed.ncbi.nlm.nih.gov/36308388,"We systematically delineated the prenatal phenotype, and obstetrical and neonatal outcomes of the RASopathy cardio-facio-cutaneous (CFC) syndrome. A comprehensive, retrospective medical history survey was distributed to parents of children with confirmed CFC in collaboration with CFC International, Inc. Data were collected on CFC gene variant, maternal characteristics, pregnancy course, delivery, and neonatal outcomes with the support of medical records. We identified 43 individuals with pathogenic variants in BRAF (81%), MEK1 (14%), or MEK2 (5%) genes. The median age was 8.5 years. Hyperemesis gravidarum, gestational diabetes, gestational hypertension, and preeclampsia occurred in 5/43 (12%), 4/43 (9%), 3/43 (7%), and 3/43 (7%) of pregnancies, respectively. Second and third trimester ultrasound abnormalities included polyhydramnios, macrocephaly, macrosomia, and renal and cardiac abnormalities. Delivery occurred via spontaneous vaginal, operative vaginal, or cesarean delivery in 15/42 (36%), 7/42 (16%), and 20/42 (48%), respectively. Median gestational age at delivery was 37 weeks and median birth weight was 3501 grams. Germline pathogenic vaiants had mutiple congenital consequences including polyhydramnios, renal and cardiac abnormalities, macrosomia, and macrocephaly on second and third trimester ultrasound. Elevated rates of operative delivery and neonatal complications were also noted. Understanding and defining a prenatal phenotype may improve prenatal prognostic counseling and outcomes.",RASopathy; Ras/MAPK; cardio-facio-cutaneous syndrome; prenatal; signal transduction pathway,,,,,2022-10-30,2022/10/29,2022/10/30,Angie C Jelin; Amanda Mahle; Susan H Tran; Teresa N Sparks; Katherine A Rauen,,"Department of Gynecology and Obstetrics, Johns Hopkins University School of Medicine, Baltimore, Maryland, United States.; Department of Gynecology and Obstetrics, Johns Hopkins University School of Medicine, Baltimore, Maryland, United States.; Department of Genetic Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland, United States.; Department of Obstetrics, Gynecology and Reproductive Sciences, University of California San Francisco, San Francisco, California, United States.; Division of Genomic Medicine, Department of Pediatrics, MIND Institute, University of California Davis, Davis, California, United States.; Division of Maternal-Fetal Medicine, Legacy Medical Group, Portland, Oregon, United States.","Angie C Jelin: Department of Gynecology and Obstetrics, Johns Hopkins University School of Medicine, Baltimore, Maryland, United States.; Department of Genetic Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland, United States.Amanda Mahle: Department of Gynecology and Obstetrics, Johns Hopkins University School of Medicine, Baltimore, Maryland, United States.Susan H Tran: Division of Maternal-Fetal Medicine, Legacy Medical Group, Portland, Oregon, United States.Teresa N Sparks: Department of Obstetrics, Gynecology and Reproductive Sciences, University of California San Francisco, San Francisco, California, United States.Katherine A Rauen: Division of Genomic Medicine, Department of Pediatrics, MIND Institute, University of California Davis, Davis, California, United States.",,,,,,0
2,2023-02-05,Seth L Shipman,,,Seth L Shipman,"Gladstone Institute of Data Science and Biotechnology, San Francisco, CA, USA; Department of Bioengineering and Therapeutic Sciences, University of California, San Francisco, CA, USA; Chan Zuckerberg Biohub, San Francisco, CA, USA. Electronic address: seth.shipman@gladstone.ucsf.edu.",Current opinion in biotechnology,10.1016/j.copbio.2022.102855,36481341.0,Molecular recording: transcriptional data collection into the genome.,https://pubmed.ncbi.nlm.nih.gov/36481341,"Advances in regenerative medicine depend upon understanding the complex transcriptional choreography that guides cellular development. Transcriptional molecular recorders, tools that record different transcriptional events into the genome of cells, hold promise to elucidate both the intensity and timing of transcriptional activity at single-cell resolution without requiring destructive multitime point assays. These technologies are dependent on DNA writers, which translate transcriptional signals into stable genomic mutations that encode the duration, intensity, and order of transcriptional events. In this review, we highlight recent progress toward more informative and multiplexable transcriptional recording through the use of three different types of DNA writing - recombineering, Cas1-Cas2 acquisition, and prime editing - and the architecture of the genomic data generated.",,,,,,2022-12-09,2022/12/05,2022/12/9,Sierra K Lear; Seth L Shipman,,"Gladstone Institute of Data Science and Biotechnology, San Francisco, CA, USA; Department of Bioengineering and Therapeutic Sciences, University of California, San Francisco, CA, USA; Chan Zuckerberg Biohub, San Francisco, CA, USA. Electronic address: seth.shipman@gladstone.ucsf.edu.; Gladstone Institute of Data Science and Biotechnology, San Francisco, CA, USA; Graduate Program in Bioengineering, University of California, San Francisco and Berkeley, CA, USA.","Sierra K Lear: Gladstone Institute of Data Science and Biotechnology, San Francisco, CA, USA; Graduate Program in Bioengineering, University of California, San Francisco and Berkeley, CA, USA.Seth L Shipman: Gladstone Institute of Data Science and Biotechnology, San Francisco, CA, USA; Department of Bioengineering and Therapeutic Sciences, University of California, San Francisco, CA, USA; Chan Zuckerberg Biohub, San Francisco, CA, USA. Electronic address: seth.shipman@gladstone.ucsf.edu.",,,,,,0
3,2023-02-05,Daniel A Fletcher,,"Fletcher, Dan; Fletcher, Dan; Fletcher, Dan; Fletcher, Dan; Fletcher, Dan; Fletcher, Dan",Wendell A Lim,"UCSF Cell Design Institute, University of California, San Francisco, CA, USA. wendell.lim@ucsf.edu.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA. wendell.lim@ucsf.edu.; Center for Cellular Construction, University of California, San Francisco, CA, USA. wendell.lim@ucsf.edu.",Nature,10.1038/s41586-022-05622-z,36509107.0,Programming multicellular assembly with synthetic cell adhesion molecules.,https://pubmed.ncbi.nlm.nih.gov/36509107,"Cell adhesion molecules are ubiquitous in multicellular organisms, specifying precise cell-cell interactions in processes as diverse as tissue development, immune cell trafficking and the wiring of the nervous system",,,,,,2022-12-13,2022/12/12,2022/12/13,Adam J Stevens; Andrew R Harris; Josiah Gerdts; Ki H Kim; Coralie Trentesaux; Jonathan T Ramirez; Wesley L McKeithan; Faranak Fattahi; Ophir D Klein; Daniel A Fletcher; Wendell A Lim,,"Center for Cellular Construction, University of California, San Francisco, CA, USA.; Department of Bioengineering, University of California, Berkeley, CA, USA.; Chan Zuckerberg Biohub, San Francisco, CA, USA.; Center for Cellular Construction, University of California, San Francisco, CA, USA.; Department of Bioengineering, University of California, Berkeley, CA, USA.; Department of Mechanical and Aerospace Engineering, Carleton University, Ottawa, Ontario, Canada.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA.; Eli and Edythe Broad Center of Regeneration Medicine and Stem Cell Research, University of California, San Francisco, CA, USA.; Program in Craniofacial Biology, University of California, San Francisco, CA, USA.; Department of Orofacial Sciences, University of California, San Francisco, CA, USA.; Program in Craniofacial Biology, University of California, San Francisco, CA, USA.; Department of Orofacial Sciences, University of California, San Francisco, CA, USA.; Department of Pediatrics, Cedars-Sinai Medical Center, Los Angeles, CA, USA.; UCSF Cell Design Institute, University of California, San Francisco, CA, USA. wendell.lim@ucsf.edu.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA. wendell.lim@ucsf.edu.; Center for Cellular Construction, University of California, San Francisco, CA, USA. wendell.lim@ucsf.edu.; UCSF Cell Design Institute, University of California, San Francisco, CA, USA.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA.; Center for Cellular Construction, University of California, San Francisco, CA, USA.; UCSF Cell Design Institute, University of California, San Francisco, CA, USA.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA.; Center for Cellular Construction, University of California, San Francisco, CA, USA.; Department of Neurology, Weill Institute for Neuroscience, University of California, San Francisco, CA, USA.; UCSF Cell Design Institute, University of California, San Francisco, CA, USA.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA.; Center for Cellular Construction, University of California, San Francisco, CA, USA.; Maze Therapeutics, San Francisco, CA, USA.","Adam J Stevens: UCSF Cell Design Institute, University of California, San Francisco, CA, USA.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA.; Center for Cellular Construction, University of California, San Francisco, CA, USA.Andrew R Harris: Center for Cellular Construction, University of California, San Francisco, CA, USA.; Department of Bioengineering, University of California, Berkeley, CA, USA.; Department of Mechanical and Aerospace Engineering, Carleton University, Ottawa, Ontario, Canada.Josiah Gerdts: UCSF Cell Design Institute, University of California, San Francisco, CA, USA.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA.; Center for Cellular Construction, University of California, San Francisco, CA, USA.; Department of Neurology, Weill Institute for Neuroscience, University of California, San Francisco, CA, USA.Ki H Kim: UCSF Cell Design Institute, University of California, San Francisco, CA, USA.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA.; Center for Cellular Construction, University of California, San Francisco, CA, USA.Coralie Trentesaux: Program in Craniofacial Biology, University of California, San Francisco, CA, USA.; Department of Orofacial Sciences, University of California, San Francisco, CA, USA.Jonathan T Ramirez: Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA.; Eli and Edythe Broad Center of Regeneration Medicine and Stem Cell Research, University of California, San Francisco, CA, USA.Wesley L McKeithan: UCSF Cell Design Institute, University of California, San Francisco, CA, USA.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA.; Center for Cellular Construction, University of California, San Francisco, CA, USA.; Maze Therapeutics, San Francisco, CA, USA.Faranak Fattahi: Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA.; Eli and Edythe Broad Center of Regeneration Medicine and Stem Cell Research, University of California, San Francisco, CA, USA.Ophir D Klein: Program in Craniofacial Biology, University of California, San Francisco, CA, USA.; Department of Orofacial Sciences, University of California, San Francisco, CA, USA.; Department of Pediatrics, Cedars-Sinai Medical Center, Los Angeles, CA, USA.Daniel A Fletcher: Center for Cellular Construction, University of California, San Francisco, CA, USA.; Department of Bioengineering, University of California, Berkeley, CA, USA.; Chan Zuckerberg Biohub, San Francisco, CA, USA.Wendell A Lim: UCSF Cell Design Institute, University of California, San Francisco, CA, USA. wendell.lim@ucsf.edu.; Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, USA. wendell.lim@ucsf.edu.; Center for Cellular Construction, University of California, San Francisco, CA, USA. wendell.lim@ucsf.edu.",,,,,,0
4,2023-02-05,Kerwyn Casey Huang,,"Huang, KC; Huang, KC; Huang, KC; Huang, KC; Huang, KC; Huang, KC; Huang, KC",Karina B Xavier; Kerwyn Casey Huang; Benjamin H Good,"Instituto Gulbenkian de Ciência, 2780-156 Oeiras, Portugal. Electronic address: kxavier@igc.gulbenkian.pt.Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford, CA 94305, USA; Department of Bioengineering, Stanford University, Stanford, CA 94305, USA; Chan Zuckerberg Biohub, San Francisco, CA 94158, USA. Electronic address: kchuang@stanford.edu.Department of Applied Physics, Stanford University, Stanford, CA 94305, USA. Electronic address: bhgood@stanford.edu.",Current opinion in microbiology,10.1016/j.mib.2022.102258,36608574.0,Within-host evolution of the gut microbiome.,https://pubmed.ncbi.nlm.nih.gov/36608574,"Gut bacteria inhabit a complex environment that is shaped by interactions with their host and the other members of the community. While these ecological interactions have evolved over millions of years, mounting evidence suggests that gut commensals can evolve on much shorter timescales as well, by acquiring new mutations within individual hosts. In this review, we highlight recent progress in understanding the causes and consequences of short-term evolution in the mammalian gut, from experimental evolution in murine hosts to longitudinal tracking of human cohorts. We also discuss new opportunities for future progress by expanding the repertoire of focal species, hosts, and surrounding communities, and by combining deep-sequencing technologies with quantitative frameworks from population genetics.",,,,,,2023-01-07,2023/01/04,2023/1/7,Tanja Dapa; Daniel Pgh Wong; Kimberly S Vasquez; Karina B Xavier; Kerwyn Casey Huang; Benjamin H Good,,"Department of Applied Physics, Stanford University, Stanford, CA 94305, USA.; Department of Applied Physics, Stanford University, Stanford, CA 94305, USA. Electronic address: bhgood@stanford.edu.; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford, CA 94305, USA; Department of Bioengineering, Stanford University, Stanford, CA 94305, USA; Chan Zuckerberg Biohub, San Francisco, CA 94158, USA. Electronic address: kchuang@stanford.edu.; Instituto Gulbenkian de Ciência, 2780-156 Oeiras, Portugal.; Instituto Gulbenkian de Ciência, 2780-156 Oeiras, Portugal. Electronic address: kxavier@igc.gulbenkian.pt.","Tanja Dapa: Instituto Gulbenkian de Ciência, 2780-156 Oeiras, Portugal.Daniel Pgh Wong: Department of Applied Physics, Stanford University, Stanford, CA 94305, USA.Kimberly S Vasquez: Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford, CA 94305, USA.Karina B Xavier: Instituto Gulbenkian de Ciência, 2780-156 Oeiras, Portugal. Electronic address: kxavier@igc.gulbenkian.pt.Kerwyn Casey Huang: Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford, CA 94305, USA; Department of Bioengineering, Stanford University, Stanford, CA 94305, USA; Chan Zuckerberg Biohub, San Francisco, CA 94158, USA. Electronic address: kchuang@stanford.edu.Benjamin H Good: Department of Applied Physics, Stanford University, Stanford, CA 94305, USA. Electronic address: bhgood@stanford.edu.",,,,,,0
5,2023-02-05,Alanna Schepartz,,,Jamie H. D. Cate,"University of California, Berkeley",bioRxiv,10.1101/2023.01.25.525534,,Aminobenzoic acid derivatives obstruct induced fit in the catalytic center of the ribosome,http://www.biorxiv.org/content/10.1101/2023.01.25.525534v2,"The Escherichia coli ribosome can incorporate a variety of non-O_SCPLOWLC_SCPLOW--amino acid monomers into polypeptide chains, but with poor efficiency. Although these monomers span a diverse set of compounds, there exists no high-resolution structural information regarding their positioning within the catalytic center of the ribosome, the peptidyl transferase center (PTC). Thus, details regarding the mechanism of amide bond formation and the structural basis for differences and defects in incorporation efficiency remain unknown. Within a set of three aminobenzoic acid derivatives-3-aminopyridine-4-carboxylic acid (Apy), ortho-aminobenzoic acid (oABZ), and meta-aminobenzoic acid (mABZ)-the ribosome incorporates Apy into polypeptide chains with the highest efficiency, followed by oABZ and then mABZ, a trend that does not track with the nucleophilicity of the reactive amines. Here, we report high resolution cryo-EM structures of the ribosome with these three aminobenzoic acid derivatives charged on tRNA bound in the aminoacyl-tRNA site (A site). These structures reveal how the aromatic ring of each monomer sterically blocks positioning of nucleotide U2506, thereby preventing rearrangement of nucleotide U2585 and the resulting induced fit in the PTC required for efficient amide bond formation. They also reveal disruptions to the ""proton wire"" responsible for facilitating formation and breakdown of the tetrahedral intermediate. Together, the cryo-EM structures reported here provide a clear rationale for differences in reactivity of aminobenzoic acid derivatives relative to O_SCPLOWLC_SCPLOW--amino acids and each other, and point to stereochemical constraints on the size and geometry of non-proteinogenic monomers that can be accepted efficiently by wild-type ribosomes.",,,biorxiv;2023.01.25.525534,2,new results,2023-01-31,01/31/2023,,Chandrima Majumdar; Joshua A. Walker; Matthew B. Francis; Alanna Schepartz; Jamie H. D. Cate,"Majumdar, C.; Walker, J. A.; Francis, M. B.; Schepartz, A.; Cate, J. H. D.","Department of Molecular and Cell Biology, University of California; Department of Chemistry, University of California; Department of Chemistry, University of California; Molecular Biophysics and Integrated Bioimaging Division, Lawrence Berkeley National Laboratory; Department of Molecular and Cell Biology, University of California; Department of Chemistry, University of California; Molecular Biophysics and Integrated Bioimaging Division, Lawrence Berkeley National Laboratory; Chan Zuckerberg Biohub; Department of Molecular and Cell Biology, University of California; Department of Chemistry, University of California; Molecular Biophysics and Integrated Bioimaging Division, Lawrence Berkeley National Laboratory; Innovative Genomics Institute, University of California","Chandrima Majumdar, Department of Molecular and Cell Biology, University of California], [Joshua A. Walker, Department of Chemistry, University of California], [Matthew B. Francis, Department of Chemistry, University of California, Molecular Biophysics and Integrated Bioimaging Division, Lawrence Berkeley National Laboratory], [Alanna Schepartz, Department of Molecular and Cell Biology, University of California, Department of Chemistry, University of California, Molecular Biophysics and Integrated Bioimaging Division, Lawrence Berkeley National Laboratory, Chan Zuckerberg Biohub], [Jamie H. D. Cate, Department of Molecular and Cell Biology, University of California, Department of Chemistry, University of California, Molecular Biophysics and Integrated Bioimaging Division, Lawrence Berkeley National Laboratory, Innovative Genomics Institute, University of California",NA,,,,,0
6,2023-02-05,,,,Simon Kretschmer,"University of California, San Francisco",bioRxiv,10.1101/2023.02.01.526549,,Multi-input drug-controlled switches of mammalian gene expression based on engineered nuclear hormone receptors,http://www.biorxiv.org/content/10.1101/2023.02.01.526549v1,"Protein-based switches that respond to different inputs to regulate cellular outputs, such as gene expression, are central to synthetic biology. For increased controllability, multi-input switches that integrate several cooperating and competing signals for the regulation of a shared output are of particular interest. The nuclear hormone receptor (NHR) superfamily offers promising starting points for engineering multi-input-controlled responses to clinically approved drugs. Starting from the VgEcR/RXR pair, we demonstrate that novel (multi-)drug regulation can be achieved by exchange of the ecdysone receptor (EcR) ligand binding domain (LBD) for other human NHR-derived LBDs. For responses activated to saturation by an agonist for the first LBD, we show that outputs can be boosted by an agonist targeting the second LBD. In combination with an antagonist, output levels are tunable by up to three simultaneously present small-molecule drugs. Such high-level control validates NHRs as a versatile, engineerable platform for programming multi-drug-controlled responses.",,,biorxiv;2023.02.01.526549,1,new results,2023-02-01,02/01/2023,,Simon Kretschmer; Nicholas Perry; Yang Zhang; Tanja Kortemme,"Kretschmer, S.; Perry, N.; Zhang, Y.; Kortemme, T.","Department of Bioengineering and Therapeutic Sciences, University of California; California Quantitative Biosciences Institute (QBI) at UCSF; Department of Bioengineering and Therapeutic Sciences, University of California; California Quantitative Biosciences Institute (QBI) at UCSF; University of California, Berkeley—University of California, San Francisco Joint Graduate Program in Bioengineering; Department of Bioengineering and Therapeutic Sciences, University of California; California Quantitative Biosciences Institute (QBI) at UCSF; Department of Bioengineering and Therapeutic Sciences, University of California; California Quantitative Biosciences Institute (QBI) at UCSF; University of California, Berkeley—University of California, San Francisco Joint Graduate Program in Bioengineering","Simon Kretschmer, Department of Bioengineering and Therapeutic Sciences, University of California, California Quantitative Biosciences Institute (QBI) at UCSF], [Nicholas Perry, Department of Bioengineering and Therapeutic Sciences, University of California, California Quantitative Biosciences Institute (QBI) at UCSF, University of California, Berkeley—University of California, San Francisco Joint Graduate Program in Bioengineering], [Yang Zhang, Department of Bioengineering and Therapeutic Sciences, University of California, California Quantitative Biosciences Institute (QBI) at UCSF], [Tanja Kortemme, Department of Bioengineering and Therapeutic Sciences, University of California, California Quantitative Biosciences Institute (QBI) at UCSF, University of California, Berkeley—University of California, San Francisco Joint Graduate Program in Bioengineering",NA,,,,,0
7,2023-02-05,Amy J. Pickering,,,Amy Pickering,"University of California, Berkeley",medRxiv,10.1101/2022.07.11.22277510,,Hands are frequently contaminated with fecal bacteria and enteric pathogens globally: A systematic review and meta-analysis,http://medrxiv.org/content/early/2023/02/01/2022.07.11.22277510,"Enteric pathogen infections are a leading cause of morbidity and mortality globally, with the highest disease burden in low-income countries. Hands act as intermediaries in enteric pathogen transmission, transferring enteric pathogens between people and the environment through contact with fomites, food, water, and soil. In this study, we conducted a systematic review of prevalence and concentrations of fecal indicator microorganisms (i.e., E. coli, fecal coliform) and enteric pathogens on hands. We identified eighty-four studies, reporting 35,440 observations of hand contamination of people in community or household settings. The studies investigated 44 unique microorganisms, of which the most commonly reported indicators were E. coli and fecal coliforms. Hand contamination with 12 unique enteric pathogens was reported, with adenovirus and norovirus as the most frequent. Mean E. coli prevalence on hands was 62% [95% CI 40%-82%] and mean fecal coliform prevalence was 66% [95% CI 22%-100%]. Hands were more likely to be contaminated with E. coli in low/lower-middle-income countries (prevalence: 69% [95% CI 48% - 88%]) than in upper-middle/high-income countries (6% [95% CI 2% - 12%]). The review also highlighted the importance of standardizing hand sampling methods, as hand rinsing was associated with greater fecal contamination compared to other sampling methods.",,,medrxiv;2022.07.11.22277510,2,PUBLISHAHEADOFPRINT,2023-02-01,02/01/2023,,Molly E. Cantrell; Émile Sylvestre; Hannah Wharton; Rahel Scheidegger; Lou Curchod; David M. Gute; Jeffrey Griffiths; Timothy R Julian; Amy J. Pickering,"Cantrell, M. E.; Sylvestre, E.; Wharton, H.; Scheidegger, R.; Curchod, L.; Gute, D.; Griffiths, J.; Julian, T. R.; Pickering, A.","Department of Civil and Environmental Engineering, Tufts University; Eawag, Swiss Federal Institute of Aquatic Science and Technology; Department of Civil and Environmental Engineering, University of California; ETH Zurich, Swiss Federal Institute of Technology; ETH Zurich, Swiss Federal Institute of Technology; Department of Civil and Environmental Engineering, Tufts University; Department of Civil and Environmental Engineering, Tufts University; Department of Public Health and Family Medicine, Tufts Medical School, Tufts University; Friedman School of Nutrition Science and Policy, Tufts University; Eawag, Swiss Federal Institute of Aquatic Science and Technology; Swiss Tropical and Public Health Institute; University of Basel; Department of Civil and Environmental Engineering, Tufts University; Department of Civil and Environmental Engineering, University of California; Chan Zuckerberg Biohub","Molly E. Cantrell, Department of Civil and Environmental Engineering, Tufts University], [Émile Sylvestre, Eawag, Swiss Federal Institute of Aquatic Science and Technology], [Hannah Wharton, Department of Civil and Environmental Engineering, University of California], [Rahel Scheidegger, ETH Zurich, Swiss Federal Institute of Technology], [Lou Curchod, ETH Zurich, Swiss Federal Institute of Technology], [David M. Gute, Department of Civil and Environmental Engineering, Tufts University], [Jeffrey Griffiths, Department of Civil and Environmental Engineering, Tufts University, Department of Public Health and Family Medicine, Tufts Medical School, Tufts University, Friedman School of Nutrition Science and Policy, Tufts University], [Timothy R Julian, Eawag, Swiss Federal Institute of Aquatic Science and Technology, Swiss Tropical and Public Health Institute, University of Basel], [Amy J. Pickering, Department of Civil and Environmental Engineering, Tufts University, Department of Civil and Environmental Engineering, University of California, Chan Zuckerberg Biohub",NA,,,,,0
8,2023-02-05,,,,,,arxiv,10.48550/arXiv.2302.00582,,Habitat transition in the evolution of bacteria and archaea,https://arxiv.org/abs/2302.00582,"Related groups of microbes are widely distributed across Earth's habitats,implying numerous dispersal and adaptation events over evolutionary time.However, to date, relatively little is known about the characteristics andmechanisms of these habitat transitions, particularly for populations thatreside in animal microbiomes. Here, we review the existing literatureconcerning habitat transitions among a variety of bacterial and archaeallineages, considering the frequency of migration events, potentialenvironmental barriers, and mechanisms of adaptation to new physicochemicalconditions, including the modification of protein inventories and other genomiccharacteristics. Cells dependent on microbial hosts, particularly bacteria fromthe Candidate Phyla Radiation (CPR), have undergone repeated habitattransitions from environmental sources into animal microbiomes. We comparetheir trajectories to those of both free-living cells - including theMelainabacteria, Elusimicrobia, and methanogenic archaea - as well as cellularendosymbionts and bacteriophages, which have made similar transitions. Weconclude by highlighting major related topics that may be worthy of futurestudy.",,https://arxiv.org/pdf/2302.00582,arXiv:2302.00582v1,,,2023-02-01,02/01/2023,,Alexander L. Jaffe; Cindy J. Castelle; Jillian F. Banfield,,,,,,,,,0
9,2023-02-05,Ana Paula Arruda,,,,,Cold Spring Harbor perspectives in biology,10.1101/cshperspect.a041261,35940911.0,Endoplasmic Reticulum Architecture and Inter-Organelle Communication in Metabolic Health and Disease.,https://pubmed.ncbi.nlm.nih.gov/35940911,"The endoplasmic reticulum (ER) is a key organelle involved in the regulation of lipid and glucose metabolism, proteostasis, Ca",,,,,,2023-02-01,2023/02/01,2022/8/9,Ana Paula Arruda; Güneş Parlakgül,,"Department of Nutritional Sciences and Toxicology, University of California Berkeley, Berkeley, California 94720, USA.; Chan Zuckerberg Biohub, San Francisco, California 94158, USA.; Department of Nutritional Sciences and Toxicology, University of California Berkeley, Berkeley, California 94720, USA.; Sabri Ülker Center for Metabolic Research and Department of Molecular Metabolism, Harvard T.H. Chan School of Public Health, Boston, Massachusetts 02115, USA.","Ana Paula Arruda: Department of Nutritional Sciences and Toxicology, University of California Berkeley, Berkeley, California 94720, USA.; Chan Zuckerberg Biohub, San Francisco, California 94158, USA.Güneş Parlakgül: Department of Nutritional Sciences and Toxicology, University of California Berkeley, Berkeley, California 94720, USA.; Sabri Ülker Center for Metabolic Research and Department of Molecular Metabolism, Harvard T.H. Chan School of Public Health, Boston, Massachusetts 02115, USA.",,,,,,0
10,2023-02-05,Dmitri A. Petrov,,,Dmitri A Petrov,Stanford University,bioRxiv,10.1101/2023.02.02.526885,,Antigenic diversity in malaria parasites is maintained on extrachromosomal DNA,http://www.biorxiv.org/content/10.1101/2023.02.02.526885v1,"Sequence variation among antigenic var genes enables Plasmodium falciparum malaria parasites to evade host immunity. Using long sequence reads from haploid clones from a mutation accumulation experiment, we detect var diversity inconsistent with simple chromosomal inheritance. We discover putatively circular DNA that is strongly enriched for var genes, which exist in multiple alleles per locus separated by recombination and indel events. Extrachromosomal DNA likely contributes to rapid antigenic diversification in P. falciparum.",,,biorxiv;2023.02.02.526885,1,new results,2023-02-02,02/02/2023,,Emily R. Ebel; Bernard Y. Kim; Marina McDew-White; Elizabeth S. Egan; Timothy J.C. Anderson; Dmitri A. Petrov,"Ebel, E. R.; Kim, B. Y.; McDew-White, M.; Egan, E. S.; Anderson, T. J.; Petrov, D. A.","Department of Biology, Stanford University; Department of Pediatrics, School of Medicine, Stanford University; Department of Microbiology and Immunology, School of Medicine, Stanford University; Department of Biology, Stanford University; Disease Intervention and Prevention Program, Texas Biomedical Research Institute; Host Pathogen Interaction Program, Southwest National Primate Research Center, Texas Biomedical Research Institute; Department of Pediatrics, School of Medicine, Stanford University; Department of Microbiology and Immunology, School of Medicine, Stanford University; Chan Zuckerberg Biohub; Disease Intervention and Prevention Program, Texas Biomedical Research Institute; Department of Biology, Stanford University; Chan Zuckerberg Biohub","Emily R. Ebel, Department of Biology, Stanford University, Department of Pediatrics, School of Medicine, Stanford University, Department of Microbiology and Immunology, School of Medicine, Stanford University], [Bernard Y. Kim, Department of Biology, Stanford University], [Marina McDew-White, Disease Intervention and Prevention Program, Texas Biomedical Research Institute, Host Pathogen Interaction Program, Southwest National Primate Research Center, Texas Biomedical Research Institute], [Elizabeth S. Egan, Department of Pediatrics, School of Medicine, Stanford University, Department of Microbiology and Immunology, School of Medicine, Stanford University, Chan Zuckerberg Biohub], [Timothy J.C. Anderson, Disease Intervention and Prevention Program, Texas Biomedical Research Institute], [Dmitri A. Petrov, Department of Biology, Stanford University, Chan Zuckerberg Biohub",NA,,,,,0
